	Center	Punct\cont	X	VERB	Time	N\P	S_O	KNOW	Perso?	Act				Full context
other	уж	«	Барса	упускать	future	N	S							И здесь уже искушенный читатель начал засыпать: уж«Барса» -тосвоего не упустит, а в концовке у «Реала», знамо дело, кого-то обязательно удалят. [Евгений Шуваев. Сказка со счастливым концом. "Барселона" завоевала Суперкубок Испании [ВИДЕО] // Советский спорт, 2011.08.18] [омонимия не снята]
other	уж		Ваня	-	-	N	S		1					Мои дети ненаказанными выросли. А ужВанятотем более! Не дай бог кому-нибудь его тронуть. [Брагина Лика. Татьяна Васильева: «У нас нет в семье патриарха, только матриарх» // Труд-7, 2009.10.22] [омонимия не снята]
other	уж		воду	глотать	present	N	O			1				и уж мы это…/ а-а-а…/ глотаем ужводу-то/ ну я маненько это… как пошустрее была/ я вообще шустрая была/ пошустрее/ сразу как это… раз! / и её руку… как ей дала/ сразу схватала// [Случай на реке (Земляные Хутора, Аткарский район, Саратовская область, 2004)] [омонимия снята]
other	уж		время	быть	past	N	-							ну и просила / что мол / больно ужвремя-ттяжёлое было / война / и… никак / мы с мамой-то плохо / у нас никакого запасу нету / ничего мы / только на картошке / на тык… на тыквы / на свёкле только жили / на этим вота / хлебного ничего не было // [Рассказ Кутюмовой об огороде (Саратовская область, Саратов, 1996)] [омонимия снята]
other	уж	…	жись	состоять	past	N	S							А вот это… это тожо я другой раз и подумаю, да, дак ведь уж жись-тосостояла ведь не только сичцас, конечно. [Религия. Загробная жизнь (Архангельская область, 2007)] [омонимия снята]
other	уж		колокола	быть	past	N	S							все / народу полно / оцепили её кругом и говорят / пусть горит лучше // было - то пять колоколов // больно ужколокола-тобыли хорошие / одно было большое / вот у нас звонят / а в другом селе слышно // а другое поменьше / а третье ещё меньше / четвёртое меньше / а пятое тоже небольшое уже // звонили очень хорошо / вот на Паску когда особенно // некоторые ребята умели звонить - то // а мы пляшем на этом / на мосту! [Как церковь сгорела (с. Белогорное, Вольский район, Саратовская область, 1996)] [омонимия снята]
other	уж		Ксешку	брать	future	N	O		1	1				ну приехали и… ну мол… моя-т мама-т и говорит / "ну что ж это / дорогая свекровушка / маменькя" / маменькя её звали / мы ужКсешку-товозьмём // [Рассказ Кутюмовой об огороде (Саратовская область, Саратов, 1996)] [омонимия снята]
other	уж		огонь	гореть	past	N	S							Андрей-то… а ужогонь-тогорел всё уж// [Смерть свекрови (Верховье, Вытегорский район, Вологодская область, 1976)] [омонимия снята]
other	уж		плотвы	-	-	N	S							Чего доброго а ужплотвы-тововсе полно тута. [О жизни (Деулино, Рязанский район, Рязанская область, 1961)] [омонимия снята]
other	уж		потом	придумать	past	P	-							А ужпотом—тоназвание, которое ему придумал производитель, или торговую марку или товарный знак. [Елена АРАКЕЛЯН. Прощай, пломбирчик! // Комсомольская правда, 2011.08.03] [омонимия не снята]
other	уж		походочка	быть	past	N	S							Я уж ходить-то любила, о, у меня ужпоходочка-тобыла / только на выходку. [Человек (Архангельская область, 1996)] [омонимия снята]
other	уж		похорона	прийти	past	N	S			1				замирилась война-та да ужпохорона-тапришла от мужика-т дак / чё уж боле // [Рассказ о жизни (Архангельская область, )] [омонимия снята]
other	уж	«	средние	-	-	N	S			-				- Татьяна Михайловна, существует точка зрения, что сегодня наше общество―это общество конформистов, которое готово принять любую власть. А уж«средние» -тов особенности… Хорошо ли это? [Инна РУДЕНКО. Татьяна Малева, экономист, член научного совета Московского центра Карнеги: Хватит делать из среднего класса дойную корову! // Комсомольская правда, 2001.02.20] [омонимия не снята]
other	уж		удовльствие	получать	past	N	O							Вчера я наконец то осмелел, И ноги взял твои я в плен, Не знаю, было ли тебе приятно, А я ужудовольствиетополучил. [kurgaev1. Вчера я наконец то осмелел http://stihi.ru/2011/09/25/7114 (2011)] [омонимия не снята]
other	Уж		они	знать	present	P	S	1						В День святого Валентина любовники больше всего рискуют «проколоться», утверждают западные детективные агентства. Ужонитознают, что говорят! В этот романтический праздник они работают в авральном режиме. [Юлия ЖУКОВСКАЯ. У частных детективов в День святого Валентина - аврал // Комсомольская правда, 2006.02.14] [омонимия не снята]
other	Уж	«	Спартак	(быть) известен	present	N	S	1						Уж«Спартак» -тоизвестен ребятами с юмором – футболки перед тренировкой никто не рвал? [Александр Боярский. Владимир Бесчастных: "Тяжело смеяться над шутками, не зная языка // Советский спорт, 2011.04.01] [омонимия не снята]
other	уж		ты	знать	present	P	S	1						Теперь ужтытознаешь, Что ты не навсегда, Но зря себя терзаешь Что можно, что нельзя. [georgenolman. Ты думаешь, что можешь http://stihi.ru/2007/05/29-1727 (2007)] [омонимия не снята]
other	уж		я	знать	present	P	S	1						Поверь мне, девочка, ужятознаю Как больно это сердцу пережить Но я сейчас спокойно наблюдаю В душе моей огонь успел остыть… Прохладно стало вдруг… пойду Не мне влюбленные глаза судить Я пережила опять свою беду За пять минут полпачки? [paula0886bkru. Я постою незаметно в сторонке http://stihi.ru/2009/09/08/3102 (2009)] [омонимия не снята]
other	Уж		я	знать	present	P	S	1						Слова, что срываются с губ Твоих, они не правдивы Ужятознаю поверь.. [koln1963. Сегодня закралась тоска http://stihi.ru/2009/04/23/1734 (2009)] [омонимия не снята]
